No.,Item_1,Item_2,Nature,IntendedPurpose_Complimentary,ChannelsOfTrade_RelevantPublic,LevelOfSimilarity
1,1 Chemicals for industrial use,1 Chemical additives for detergents,4 ((1) Chemicals (2) Chemicals additives (2) nằm trong (1)),4 ((1) for industrial use  (2) for detergents (2) nằm trong (1)),4 ((2) nằm trong (1)),4
2,1 Chemical products used in the manufacture of plastics and in the photocopying industry,"1 Plastics in the form of granules, powders, masses, resins, gels, emulsions, dispersions, pastes, flakes, chips",4 ((1) Chemical products used in the manufacture of plastics (2) plastics (2) là Sản phẩm hình thành từ (1)),4 ((1) used in the manufacture of plastics (2) used in the manufacture of plastics (2) trùng (1)),Không cần đánh giá,4
3,1 Polymers,1 Unprocessed plastics,4 ((1) polymers (2) plastics (1) là tên gọi khác của (2)),4 ((1) used in the manufacture of plastics (2) used in the manufacture of plastics),Không cần đánh giá,4
4,2 Paints,19 Construction materials,0 ((1) paints (2) construction materials),3 ((1) Construction (2) Construction),Không cần đánh giá,2
5,3 Cosmetics,1 chemical additives for detergents,0 ((1) Cosmetics (2) chemical additives for detergents),2 ((1) make-up and other relevant purposes (2) manufacture of detergents (1) sometimes can be a kind of detergent (2)),2 (Khác đối tượng người tiêu dùng về (2) for professional public/nhà sản xuất),2
6,3 Cosmetics,"40 Services for the pharmaceutical and cosmetic industry, namely synthesis and preparation of pharmaceutical and cosmetic products",4 ((1) Cosmetics (2) Services for cosmetic industry (1) là đối tượng cung cấp của (2)),4 ((1) make-up and other relevant purposes (2) make-up and other relevant purposes (1) trùng (2)),Không cần đánh giá,4
7,1 Industrial chemicals in the field of washing or food preservation only,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",3 ((1) Industrial chemicals in the field of washing or food preservation only (2) Development of preparations for destroying fungicides  (1) có thể là đối tượng nghiên cứu/sản xuất của (2)),3 ((1) for washing or food preservation (2) for destroying fungicides (2) chính là một dạng thực hiện (1)),,3
8,1 Chemical additives in the field of washing or food preservation only,42 Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry,0 (Sản phẩm không phải là đối tượng cung cấp của dịch vụ),0 (Không cùng mục đích),,0
9,1 Chemical substances intended to conserve food,"42 Operating of licencing procedures for pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides",2 (Sản phẩm không phải là đối tượng cung cấp của dịch vụ),2 (Vẫn có khả năng cùng mục đích khi mà chemical substances intended to conserve food cũng cần destroying vermin),Vẫn có khả năng cùng chung đối tượng người tiêu dùng,2
10,1 Chemical substances for preserving foodstuffs,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others","3 ((1) chemical substances for preserving foodstuffs (2) Development of pharmaceutical, including preparations for destroying fungicides (1) có thể là đối tượng nghiên cứu/sản xuất của (2))",3 ((1) for washing or food preservation (2) for destroying fungicides (2) chính là một dạng thực hiện (1)),,3
11,1 Detergents for use inmanufacturing processes,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others","2 ((1) detergents for use in manufacturing processes (2) Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides (2) về (1) giao nhau)",2 ((1) for use in manufacturing  processes (2) for destroying fungicides (2) có thể hỗ trợ cho (1)),,2
12,1 Adhesive removal inmanufacturing processes,"42 Development of pharmaceutical and cosmetic products, including preparations for destroying vermin, fungicides and herbicides, for others",0 ((2) không phải là đối tượng cung cấp (1)),1 (Ít có khả năng dùng cùng nhau trong quá trình sản xuất),0 (Khác kênh phân phối),1
13,1 Chemical substances for analysis in laboratories (except for medicinal or veterinary purposes),42 Scientific and/or industrial research and consultancy relating thereto for the pharmaceutical and cosmetic industry,3 ((1) chemical substances for analysis in laboratories (except for medicinal or veterinary purposes) (2) scientific and/or industrial research and consultancy relating thereto for the cosmetic industry (1) có thể là đối tượng của (2) liên quan đến cosmetic industry),3 ((1) for analysis in laboratories (except for medicinal or veterinary purposes (2) scientific and/or industrial research and consultancy relating thereto for the cosmetic industry có thể cùng được sử dụng trong cosmeticindustry),(Không cần phân tích),3
14,"7 Machines for the manufacture of concrete elements, concrete panels and walls","7 Parts of machines, especially for textile machines, namely covers, roll covers, aprons for machines",3 ((1) Machines (2) Parts of machines (2) nằm trong (1)),"3 ((1) for the manufacture of concrete elements, concrete panels and walls (2) especially for textile machines, namely covers, roll covers, aprons for machines có thể giao nhau được dùng cùng nhau)",,3
15,"7 Machines for the manufacture of concrete elements, concrete panels and walls",7 rollers and rolls [parts of machines],3 ((1) Machines (2) rollers and rolls [parts of machines] (2) nằm trong (1)),"3 ((1) for the manufacture of concrete elements, concrete panels and walls (2) for a broad category)",,3
16,"7 Parts and fittings of machines for the manufacture of concrete elements, concrete panels and walls",7 Drive belts for machines,3 ((1) parts and fittings of machines (2) drive belts for machines (2) là một loại thuộc (1)),"3 ((1) for the manufacture of concrete elements, concrete panels and walls (2) for a broad category of machines (1) nằm trong (2))",,3
17,"19 Building materials, especially concrete elements, panels and walls",37 Building construction,3 ((1) Building materials (2) Building construction (2) sử dụng (1)),3 ((1) for construction (2) for construction Cùng mục đích về sử dụng cùng nhau),,3
18,"19 Building materials, especially concrete elements, panels and walls",37 Repair services,"2 ((1) Building materials (2) Repair services (2), theo explanation note, có thể sử dụng (1) i.e., services which restoration of an existing building)",3 ((1) for construction (2) restoration of an existing building Mục đích được coi là trùng nhau),,3
19,"19 Building materials, especially concrete elements, panels and walls",37 Installation services,0 ((1) Building materials (2) Installation services),"3 ((1) for construction (2) thường cho equipment, có thể là 370128 installation of doors and windows 370146 installation ofutilities in construction sites)",3 ((1) contractors or subcontractors in the construction (2) includes contractors or subcontractors in the construction đối tượng người tiêu dùng giao nhau),3
20,05 Pharmaceuticals,10 Medical instruments,0  ((1) substances (2) equipment/instruments Hoàn toàn khác về bản chất),3 ((1) for medical purposes  (2) for medical purposes Cùng mục đích chữa bệnh),3 (có thể cùng kênh phân phối),3
21,09 Electronic key fobs being remote control apparatus,9 Electrical and power test and measurement equipment,3 ((1) control apparatus (2) test and measurement equipment),3 (có chung mục đích đảm bảo an toàn),3,3
22,10 Apparatus for physical training for medical use,"17 Rubber, gutta-percha, gum, asbestos, mica and goods made from these materials not included in other classes",2  ((1) Apparatus  (2) substances and goods made from these materials),0 ((1) for physical training for medical use  (2) for broad category of goodsảnot included in other classes),0,0
23,10 Manually-operated exercise equipment for medical rehabilitative purposes,25 Special athletic shoes,0  ((1) manually-operated exercise equipment  (2) shoes Hoàn toàn khác biệt),3  ((1) for exercise for medical rehabilitative purposes  (2) for exercise trùng nhau),3 (có thể cùng đối tượng người tiêu dùng về kênh phân phối Giao nhau),3
24,10 Manually-operated exercise equipment for physical therapy purposes,17 Insulating materials,0  ((1) manually-operated exercise equipment  (2) materials Hoàn toàn khác nhau),0  ((1) for physical therapy purposes  (2) for insulating  17017 insulating bans/insulating tapes 170049 insulating gloves),0,0
25,10 Exercise machines for therapeutic purposes,"17 Flexible pipes, not of metal","0 ((1) exercise machines  (2) flexible pipes, not of metal  Machines # pipes)","2  ((1) for therapeutic purposes  (2) for a broad category purpose and may be used for machines, for example, Hydraulic exercise equipment  (2) có thể được dùng cùng (1))","1 (Có 1 số ít chuyên gia về máy có thể sử dụng, mua (2) để sửa chữa (1))",1
26,10 Physical exercise apparatus for therapeutic purposes,17 Rubber coverings,0  ((1) physical exercise apparatus for therapeutic purposes  (2) rubber coverings),"3  ((1) physical exercise apparatus for therapeutic purposes   (2) Rubber covers the handles of the exercise machine to prevent slipping) Rubber covers the gym floor to absorb shock and protect the floor.  170101 packing [cushioning, stuffing] materials of rubber or plastics   170014 padding materials of rubber or plastics / stuffing of rubber or plastics  có thể được dùng cùng nhau)",1,1
27,10 Manually-operated exercise equipment for physical therapy purposes,25 Special athletic clothing,0  ((1) manually-operated exercise equipment   (2) clothing),3  ((1) for physical therapy purposes;  (2) for special athletic),3  (có thể cùng kênh phân phối về đối tượng người tiêu dùng),3
28,"28  Accessory for manually-operated exercise equipment, namely, accessory attachment to increase muscle resistance exercise equipment, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body exercises, stair-stepping machines, and torso exercisers",27 Mats,((1) Accessory for manually operated exercise equipment  (2) Mats accessory không xác định được bản chất vì quá rộng),"3  ((1) for exercise (2) Explanatory Note mats being floor coverings, for example, bath mats, door mats, gymnastic mats, yoga mats;   có thể có chung
mục đích for exercise)",3 (Vì có thể có chung mục đích nên có thể cùng chung kênh phân phối về đối tượng người tiêu dùng),3
29,"28 Exercise equipment, namely, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body",27 Carpets,,"3 ((1) floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body   (2) carpets  có thể được dùng cùng nhau trong trường hợp sàn cần trải thảm cho phù hợp, ví dụ, trong phòng gym)",2,2
30,"28 Exercise equipment, other than for physical therapy purposes, namely, arm exercisers, body exercisers, chest expanders, chest pulls, exercise barrels, exercise chairs, exercise platforms, exercise resistance machines, exercise tables, floor supported platforms having movable portion intended for exercise and treatment of all muscles of the body, leg exercisers, resistance exercise machines for various resistance-type body exercises, stair-stepping machines, and torso exercisers",27 Linoleum and other floor coverings,0,2 ((1) for physical therapy purposes  (2) for covering floors có thể được dùng cùng nhau),1 (Ít khả năng cùng kênh phân phối Người tiêu dùng có thể),
31,28 Exercise machines,28 Linoleum and other floor coverings,((1) machines  (2) linoleum and other Khó xác định),"2 ((1) for exercise (2) theo explanation note mats being floor coverings, for example, bath mats, door mats, gymnastic mats, yoga mats; Other floor coverings có thể là mats về do đó có thể có mục đích gymnastic mats, yoga mats có thể có khả năng dùng cùng nhau)",1 (Ít có khả năng cùng kênh phân phối Có khả năng cùng chung người tiêu dùng),1
32,28 Manually-operated exercise equipment,25 Footwear,0  ((1) exercise equipment  (2) Footwear),2  ((1) for exercise  (2) có thể  for exercise),3 (có thể cùng kênh phân phối về đối tượng người tiêu dùng),2
33,"28 Sporting goods, namely, sports training devices in the nature of balance boards to improve strength, toning, conditioning, balance, and proprioception",25 Footwear,0 ((1) sports training devices  (2) footwear),2 ((1) for sports (exercise)  (2) có thể  for sports),3 (có thể cùng kênh phân phối về đối tượng người tiêu dùng),2
34,28 Body-training apparatus,25 Bicycles,1 ((1) body-training apparatus  (2) Bicycles),2  ((1) for exercise  (2) may be for exercise),1 (Ít khả năng cùng kênh phân phối đối tượng người tiêu dùng),2
35,28 Body-training apparatus for exercise and treatment of all muscles of the body,25 Footwear,0 ((1) apparatus  (2) Footwear),2  ((1) for exercise  (2) maybe for exercise),2  (có thể dùng kênh phân phối về đối tượng người tiêu dùng),2
36,"12 Bicycles, pedelecs and electric bicycles, and parts and accessories therefor, not included in other classes.",12 Pedal Bicycles,,3  (Dùng cùng nhau),4 (Cùng kênh phân phối về đối tượng người tiêu dùng),4
37,25 Footwear,35 Footwear trade,,3  ((1) là đối tượng cung cấp của (2)),4 (Cùng đối tượng người tiêu dùng),3
38,"29 Milk, milk-based drinks (in which milk is the main part, not included in other groups)",5 Infant formula,4  ((1) milk  (2) powder milk),4 (Có cùng mục đích),4 (Cùng kênh phân phối về người tiêu dùng),4
39,32 Beer,32 Non-alcoholic beverages and preparations for making such beverages,0  ((1) alcoholic   (2) non-alcoholic),0,4,1
40,"11 Solar collectors, solar heat collectors [heating, heating];",11 Lighting equipment,2  ((1) solar collectors  (2)),4,4,3
41,11 Filters for aquariums,11 Water distribution and sanitary equipment,,2  (có thể được dùng cùng nhau),0  (Không cùng kênh phân phối),1
42,11 Filters for tanks for raising aquatic species,7 Piston pins and lever arms,,2 (có thể được dùng cùng nhau),2 (có thể cùng kênh phân phối người tiêu dùng (professional public)),2
43,7 Anti-friction bearings for machines,7 Rollers,4 ((1) bearings  (2) rollers  Vòng bi về con lăn có cùng bản chất),3  (Có cùng mục đích (sử dụng trong máy móc được thiết kế để giảm ma sát giữa các bộ phận chuyển động trong máy móc) Và có thể được dùng cùng nhau),4,4
44,"11 sanitary equipment, namely: sinks (used in bathrooms, toilets and kitchens)","19 Drain pipes, not of metal",,4 (được dùng cùng nhau),4 (Cùng kênh phân phối về đối tượng người tiêu dùng),4
45,20 Kitchen cabinets (wooden cabinets for storing things hung on the wall in the dining room),21 Glass holders or for toilets,,2 (có thể được dùng cùng nhau),4 (Nhiều khả năng cùng kênh phân phối/cùng bán ở một cửa hàng),2
46,8 Hair clippers (electric and non-electric),21 Glass holders,0,0 (Không cùng mục đích về không dùng cùng nhau),2 (có thể cùng nhà sản xuất (usual origin)),2
47,7 Washing machines,11 Cooking systems and equipment,,0 (Hoàn toàn khác mục đích),"4 (Nhiều khả năng cùng kênh phân phối/cùng bán trong hệ thống điện máy đặc biệt, có thể cùng nhà sản xuất (usual origin))",3
48,11 Cooking systems and equipment,"11 Watering can, tool for watering plants",,0 (Hoàn toàn khác mục đích),2  (Ít có khả năng cùng kênh phân phối/cùng 1 cửa hàng có thể bán cùng 1 siêu thị nhưng khác points of sale Khác nhà sản xuất),1
49,11 Electric cooking utensils,11 Indoor aquarium,,0 (Không có cùng mục đích),0 (Không cùng kênh phân phối hay nhà sản xuất),0
50,11 Heating apparatus,11 Indoor animal cages,,3 (Không cùng kênh phân phối hay nhà sản xuất),1 (Ít khả năng cùng kênh phân phối),2
51,11 Steam generating apparatus,11 Sprinkler,,2 (có thể được dùng cùng nhau),3 (có thể cùng kênh phân phối),2
52,11 Ventilators,11 Sprinkler,0,2  (có thể được dùng cùng nhau),3  (có thể cùng kênh phân phối Ít có khả năng cùng nhà sản xuất (2)),2
53,7 Cutting machines,7 Machines and machine tools for the manufacturing and processing of micro-structure elements,,3  (có thể được dùng cùng nhau),3  (Cùng kênh phân phối Cùng đối tượng người tiêu dùng Cùng 1 nhà sản xuất),3
54,7 Drill bits (parts of drilling machines),7 Semiconductor wafer processing machines,"(Drilling machines: rộng, có thể được ứng dụng trong nhiều ngành, bao gồm semiconductor)",3  (có thể được dùng cùng nhau),3 (có thể cùng kênh phân phối Cùng nhà sản xuất),3
55,7 Milling machines (machine tools),"7 Automated machines and systems for cleaning, coating, developing, etching and strip coating of substrates, especially semiconductor substrates, hard discs, silicon discs, wafers, photomasks, hardmasks or embossing masks, templates, structure masks and substrates","((1) Máy cắt gọt cơ khí, hoạt động nhờ dao phay nhiều lưỡi quay để loại bỏ vật liệu. (2) Máy móc và hệ thống tự động để làm sạch, tráng phủ, phát triển, khắc và tráng phủ dải các chất nền, đặc biệt là chất nền bán dẫn, đĩa cứng, đĩa silicon, tấm wafer, mặt nạ ảnh, mặt nạ cứng hoặc mặt nạ dập nổi, khuôn mẫu, mặt nạ cấu trúc và chất nền)",3  (có thể được dùng cùng nhau),3  (Ít khả năng cùng kênh phân phối về nhà sản xuất),3
56,"7 Heavy machine tools, namely boring machines","7 Lathes, milling machines, blades (for woodworking, plastic working and metalworking machines)","((1) máy công cụ hạng nặng, cụ thể là máy khoan – for heavy industry (2) máy tiện, máy phay, lưỡi dao (dùng cho máy chế biến gỗ, máy gia công nhựa và máy gia công kim loại))",3  (có thể được dùng cùng nhau),1 (Ít khả năng cùng kênh phân phối về nhà sản xuất),1
57,7 Saw blades (parts of saw machines),7 Knives (parts of machines),((1) lưỡi cưa (các bộ phận của máy cưa) (2) dao (bộ phận của máy móc) Trùng nhau),4  (Cùng mục đích),4 (Cùng kênh phân phối),4
58,7 Punching and broaching machines (machine tools),7 Drill bits (parts of machines),"((1) máy đột dập và doa (máy
công cụ); (2) mũi khoan (bộ phận của máy) Cả 2 sản phẩm đều có thể áp dụng trong nhiều lĩnh vực sản xuất, do đó không cần đánh giá bản chất)",3  (có thể dùng cùng nhau hoặc thay thế cho nhau),3 (Cùng kênh phân phối về đối tượng người tiêu dùng),3
59,7 Lathe blades (parts of lathes),7 Machines for wafer bonding,((1) lưỡi tiện (bộ phận của máy tiện). (2) máy liên kết wafer; (1) sử dụng trong nhiều lĩnh vực sx khác nhau (rộng) (2) Máy liên kết wafer (wafer bonder) được dùng trong công nghệ vi mạch và MEMS (MicroElectroMechanical Systems) Không đánh giá về bản chất),"2  (có thể được dùng cùng nhau trong quá trình sản xuất, , tuy nhiên lưỡi tiện/máy tiện không phải loại máy chính cần dùng trong công nghệ vi mạch và MEMS)",2 (có thể cùng kênh phân phối),2
60,7 Prefabricated building assembly kits of metal,7 Machines for wafer bonding,0 ((1) bộ lắp ráp tòa nhà đúc sẵn bằng kim loại; (2) máy liên kết wafer (1) không phải máy),0  (Không cùng mục đích về không dùng cùng nhau),2  (Ít có khả năng cùng nhà sản xuất),1
61,7 Construction machines and apparatus,7 Machines for debonding,((1) Máy móc và thiết bị xây dựng; (2) Máy móc để tháo dỡ; Không cần đánh giá bản chất),4 (Thường được dùng cùng nhau),4 (Cùng kênh phân phối về đối tượng người tiêu dùng),4
62,7 Loading-unloading machines and apparatus,7 Lithographic machines for the processing of micro-structure or nano-structure elements,((1) máy móc và thiết bị xếp dỡ (2) Máy in thạch bản dùng để xử lý các thành phần có cấu trúc vi mô hoặc cấu trúc nano),0 (Không cùng mục đích về không dùng cùng nhau),0 (Không cùng kênh phân phối),0
63,7 Semiconductor manufacturing machines and systems,7 Photomask and wafer processing machines for photomask applications,((1) máy móc và hệ thống sản xuất chất bán dẫn (2) Máy xử lý mặt nạ quang học và wafer cho các ứng dụng mặt nạ quang học),4 (Thường được sử dụng cùng nhau),4  (Cùng kênh phân phối về nhà sản xuất),4
64,"7 Non-electric prime movers, not for land vehicles [other than water mills and wind mills]",7 Photomask and wafer processing machines for the manufacturing and processing of opto-electronics,"((1) động cơ chính không dùng điện, không dùng cho phương tiện giao thông trên bộ [trừ cối xay nước và cối xay gió] (2) Máy chế tạo mặt nạ quang học và wafer dùng để sản xuất và chế tạo các thiết bị quang điện tử)","4 ((1) Sản phẩm rộng, bao trùm (2))",2  (có thể cùng kênh phân phối),3
65,7 Tranmissions for machines,7 Laser machines for the semiconductor industry,((1) hộp số cho máy móc (2) Máy laser cho ngành công nghiệp bán dẫn),4 ((1) là Sản phẩm thiết yếu cho hầu hết các loại máy Dùng cùng nhau),3 (có thể cùng kênh phân phối về nhà sản xuất),4
66,7 Alignment feeding apparatus for screw,7 Photomask and wafer processing systems for the manufacturing of organic light emitting diodes (OLED),((1) Thiết bị cấp liệu căn chỉnh cho vít (2) Hệ thống xử lý mặt nạ quang điện và wafer để sản xuất điốt phát quang hữu cơ (OLED)),4 ((1) là Sản phẩm thiết yếu cho hầu hết ngành sản xuất Dùng cùng nhau),3 (có thể cùng kênh phân phối về nhà sản xuất),4
67,35 Business management assistance,35 Administrative processing of purchase orders,,2 (Phân loại theo Explanatory Note (1) help in the working or management of a commercial undertaking (2) help in the management of the Business affairs or commercial functions of an industrial or commercial enterprise),3 (Cùng đối tượng người tiêu dùng),2
68,35 Commercial information,35 Administrative processing of purchase orders;   ,((1) 350006 commercial inf ormation agency services cung cấp thông tin (2) 350095 administrative processing of purchase orders xử lý các công việc hành chính cho 1 nhiệm vụ cụ thể),"4 (có thể được dùng cùng nhau, bổ trợ cho nhau)",4 (có thể cùng nhà cung cấp),4
69,35 Commercial Business survey,35 Business management consultancy,2 ((1) lấy thông tin (2) tư vấn quản lý - cũng cần lấy thông tin),3  (có thể dùng cùng nhau),3 (có thể cùng nhà cung cấp),3
70,35 Business management consultancy,35 Business management consulting services in the field of information technology,4  ((2) nằm trong (1)),4  (Mục đích (2)nằm trong (1) - trong lĩnh vực cụ thể),,4
71,35 Personnel management consultancy,35 Business management and organization consultancy,2 ((2) có thể bao gồm (1)),3  (Khả năng cao được dùng cùng nhau),,2
72,35 Real estate auctioning,35 Commercial information agencies,2 ((1) đấu giá bất động sản (2) công ty cung cấp thông tin thương mại),"3  (Khả năng cao được dùng cùng nhau, ví dụ, khi thực hiện đấu giá cần có các thông tin thương mại)",3 (Có khả năng cùng nhà cung cấp),3
73,36 Real estate consultancy,35 Advertising,0 ((1) tư vấn bất động sản (2) quảng cáo),3  (Khả năng cao được dùng cùng nhau),1 (Ít có khả năng cùng nhà cung cấp về tài chính về quảng cáo là 2 lĩnh vực đặc thù riêng biệt thực tế trên thị trường),1
74,36 Financial consultancy,35 Advertising,0 ((1) tư vấn tài chính (2) quảng cáo),3  (Khả năng cao được dùng cùng nhau),2 (Ít có khả năng cùng nhà cung cấp),2
75,36 Real estate brokerage,35 Advertising by mail order,0  ((1) môi giới bất động sản (2) quảng cáo qua thư đặt hàng),3  (Khả năng cao được dùng cùng nhau),1 (Ít có khả năng cùng nhà cung cấp),1
76,36 Investment consulting,"36 Real estate related sales, management, leasing, agency services","4 ((1) “Tư vấn đầu tư” trong Cl. 36 bao gồm “tư vấn đầu tư bất động sản” (2) dịch vụ liên quan đến bán, quản lý, cho thuê, đại lý bất động sản – cũng bao gồm/trùng với tư vấn bất động sản (2) nằm trong (1))",3  (Khả năng cao được dùng cùng nhau),3 (Khả năng cao cùng nhà cung cấp),
77,36 Financial and insurance consulting (contracts),"36 Real estate related sales, management, leasing, agency services",,,,
78,45 Litigation services,45 Security services,,,,
79,36 Real estate Business,35 Advertising / Publicity,,,,
80,36 Real estate leasing,35 Advertising agencies /Publicity agencies,,,,
81,36 Real estate management trust services (in the field of finance),35 Business management assistance,,,,
82,Financial investment,35 Business inquiries,,,,
83,37 Construction,35 Business auditing,,,,
84,37 Construction consultancy,35 Business appraisals,,,,
85,"37 Construction of civil, cultural, traffic, irrigation works",35 Business investigations,,,,
86,37 Supervision and management of construction works,35 Business research,,,,
87,37 Finishing of construction works,35 Business information,,,,
88,37 Site clearing,35 Commercial or industrial management assistance,,,,
89,41 Training; education; educational information,35 Commercial administration of the licensing of the goods and services of others,,,,
90,41 Training and education consultancy,35 Compilation of statistics,,,,
91,41 Entertainment services,41 Training and education consultancy,,,,
92,41 Organization and control of seminars,41 Training and education consultancy,,,,
93,42 Setting up Construction site drafting,35 Organization of exhibitions for commercial or advertising purposes,,,,
94,42 Architecture services,45 Security consultancy,,,,
95,42 Computer software consultancy,45 Security consultancy,,,,
96,42 Computer software consultancy,45 Security services for the protection of property and individuals,,,,
97,42 Logo and packaging design services,45 Intellectual property licensing services,,,,
98,42 Biological research,45 Mediation services,,,,
99,42 Chemical research,45 Mediation services,,,,
100,45 Intellectual property consultancy,45 Legal services,,,,
